ILI	EN	UA_WORD	UA_DEF
i89629	driver: the operator of a motor vehicle	водій	 оператор транспортного засобу
i22762	deteriorate: become worse or disintegrate	погіршуватися	 ставати гіршими або розпадатися
i23264	flare up: erupt or intensify suddenly	спалахувати	 раптово виникати або посилюватися
i27993	wallpaper: cover with wallpaper	шпалери	 обклеїти шпалерами
i70681	resolution: a formal expression by a meeting	Резолюція	 офіційний вираз, прийнятий на зборах
i52451	coverlet: a decorative bedspread (usually quilted)	покривало	 декоративне покривало (зазвичай стьобане)
i13648	trustful: inclined to believe or confide readily	довірливий	 схильний вірити або легко довіряти
i35494	flame up: burn brightly	flame up	 горіти яскраво
i26890	carry: pass on a communication	нести	 передавати повідомлення
i39906	straightness: a sexual attraction to (or sexual relations with) persons of the opposite sex	гетеросексуальність	 сексуальний потяг до осіб протилежної статі (або сексуальні стосунки з ними)
i32835	take in: call for and obtain payment of	приймати	 вимагати та отримувати оплату
i27848	draw: move or pull so as to cover or uncover something	тягнути	 рухати або тягнути так, щоб накрити або розкрити щось
i93291	state's attorney: a prosecuting attorney for a state	прокурор штату	 прокурор, який здійснює державне обвинувачення
i115449	hydrocarbon: an organic compound containing only carbon and hydrogen	вуглеводень	 органічна сполука, що містить лише вуглець і водень
i88124	doubter: someone who is doubtful or noncommittal about something	сумнівається	 той, хто сумнівається або не впевнений у чомусь
i63241	piquantness: a tart spicy quality	пікантність	 терпка пряна якість
i32625	clank: make a clank	клацнути	 зробити клацання
i75296	fluctuation: a wave motion	флуктуація	 хвильовий рух
i61621	look: physical appearance	Зовнішній вигляд	 зовнішній вигляд
i102114	violet: any of numerous low-growing violas with small flowers	фіалка	 будь-яка з численних низькорослих фіалок з дрібними квітами
i31092	vacillate: move or sway in a rising and falling or wavelike pattern	коливатися	 рухатися або розгойдуватися, піднімаючись і опускаючись, або хвилеподібно
i29609	graze: let feed in a field or pasture or meadow	пастися	 випускати на поле, пасовище або луг
i33050	bestow: give as a gift	дарувати	 дарувати як подарунок
i54402	graphic art: the arts of drawing or painting or printmaking	графічне мистецтво	 мистецтво малюнка, живопису або друкарства
i25475	require: consider obligatory	вимагати	 вважати обов'язковим
i67107	review: a new appraisal or evaluation	перегляд	 нова експертиза або оцінка
i81771	native land: the country where you were born	Батьківщина	 країна, де ви народилися
i55715	linen: white goods or clothing made with linen cloth	льон	 побутова техніка або одяг, виготовлений з лляної тканини
i27529	feed: gratify	годувати	 задовольняти
i78869	spritzer: a mixed drink made of wine mixed with a sparkling water	шпритцер	 змішаний напій з вина, змішаного з газованою водою
i8662	necessary: absolutely essential	необхідний	 абсолютно необхідний
i39789	smoking: the act of smoking tobacco or other substances	куріння	 акт куріння тютюну або інших речовин
i41619	judgement: (law) the determination by a court of competent jurisdiction on matters submitted to it	рішення	 (право) визначення суду компетентної юрисдикції з питань, переданих йому на розгляд
i63126	light brown: a brown that is light but unsaturated	світло-коричневий	 світлий, але ненасичений коричневий
i29466	lie: be lying, be prostrate	брехати	 лежати, бути розпростертим
i33642	run down: trace	збити	 простежити
i34626	befriend: become friends with	befriend	 подружитися з
i75753	tremor: a small earthquake	тремор	 невеликий землетрус
i52088	coat closet: a closet for storing outerwear	гардеробна шафа	 шафа для зберігання верхнього одягу
i66857	doubt: the state of being unsure of something	сумнів	 стан невпевненості в чомусь
i90374	hack: a mediocre and disdained writer	хак	 посередній і зневажений письменник
i54223	gasoline station: a service station that sells gasoline	автозаправна станція	 станція технічного обслуговування, яка продає бензин
i11524	sensitive: able to feel or perceive	чутливий	 здатний відчувати або сприймати
i68661	inorganic chemistry: the chemistry of compounds that do not contain hydrocarbon radicals	неорганічна хімія	 хімія сполук, які не містять вуглеводневих радикалів
i23888	rise: become more extreme	зростати	 ставати більш екстремальними
i52529	crossbar: long thin horizontal crosspiece between two vertical posts	поперечина	 довга тонка горизонтальна перемичка між двома вертикальними стійками
i27972	scale: remove the scales from	луска	 видаліть луску з
i32049	run: be diffused	бігти	 бути розсіяним
i52399	costume: the prevalent fashion of dress (including accessories and hair style as well as garments)	костюм	 домінуюча мода на одяг (включаючи аксесуари, зачіску та одяг)
i31333	get off: get out of quickly	get off	 швидко вийти з
i82914	Slovak Republic: a landlocked republic in central Europe	Словацька Республіка	 не має виходу до моря республіка в Центральній Європі
i113359	susceptibleness: the state of being susceptible	сприйнятливість	 стан сприйнятливості
i75651	bang: a vigorous blow	bang	 сильний удар
i67565	type: a subdivision of a particular kind of thing	тип	 підрозділ певного виду речей
i44984	whippoorwill: American nocturnal goatsucker with grey-and-white plumage	козодойка	 Американський нічний козодой з сіро-білим оперенням.
i113292	air pollution: pollution of the atmosphere	забруднення повітря	 забруднення атмосфери
i79211	building: the occupants of a building	будівля	 мешканці будівлі
i55158	intersection: a junction where one street or road crosses another	перехрестя	 місце, де одна вулиця або дорога перетинає іншу
i30166	draft: make a blueprint of	проект	 зробіть план
i82622	Continent: the European mainland	Континент	 європейський материк
i36854	contamination: the act of contaminating or polluting	забруднення	 акт зараження або забруднення
i38253	intonation: the production of musical tones (by voice or instrument)	інтонація	 створення музичних тонів (голосом або інструментом)
i1792	causative: producing an effect	каузальний	 такий, що спричиняє ефект
i34058	split up: separate into parts or portions	розділити	 розділити на частини або порції
i23742	perplex: make more complicated	спантеличити	 зробити складнішим
i32928	honor: accept as pay	честь	 прийняти як оплату
i36867	bruxism: involuntarily or unconsciously clenching or grinding the teeth, typically during sleep	бруксизм	 мимовільне або несвідоме стискання або скреготіння зубами, зазвичай під час сну
i25786	reprehend: to rebuke or reprimand	докоряти	 докоряти або вимовляти догану
i35501	light up: ignite	light up	 запалювати
i58894	shuttlecock: badminton equipment consisting of a ball of cork or rubber with a crown of feathers	волан	 спорядження для бадмінтону, що складається з м'яча з пробки або гуми з короною з пір'я
i24766	immerse: cause to be immersed	занурювати	 викликати занурення
i113395	desiccation: dryness resulting from the removal of water	десикація	 сухість, що виникає внаслідок видалення води
i25793	preach: speak, plead, or argue in favor of	проповідувати	 говорити, благати або аргументувати на користь
i27765	break: become punctured or penetrated	зламатися	 бути пробитим або проникнутим
i68540	neurology: (neurology) the branch of medicine that deals with the nervous system and its disorders	неврологія	 (neurology) галузь медицини, яка займається нервовою системою та її розладами
i78697	wort: unfermented or fermenting malt	сусло	 неферментований або ферментований солод
i39345	legal injury: any harm or injury resulting from a violation of a legal right	юридична шкода	 будь-яка шкода або травма, спричинена порушенням юридичного права
i83172	capital of Rwanda: the national capital and largest city of Rwanda	столиця Руанди	 національна столиця і найбільше місто Руанди
i33216	proffer: present for acceptance or rejection	оферта	 представлення для прийняття або відхилення
i69612	vocable: a word that is spoken aloud	вокабулярний	 слово, яке вимовляється вголос
i106582	cost of living: average cost of basic necessities of life (as food and shelter and clothing)	вартість життя	 середня вартість основних життєвих потреб (таких як їжа, житло та одяг)
i87794	New Zealander: a native or inhabitant of New Zealand	Новозеландець	 уродженець або житель Нової Зеландії
i28274	raid: search for something needed or desired	рейд	 пошук чогось потрібного або бажаного
i68177	pacifism: the doctrine that all violence is unjustifiable	пацифізм	 доктрина, згідно з якою будь-яке насильство є невиправданим
i63325	bisexuality: showing characteristics of both sexes	бісексуальність	 демонстрація характеристик обох статей
i37151	speeding: changing location rapidly	перевищення швидкості	 швидка зміна місця розташування
i71718	Doctor of Dental Medicine: a doctor's degree in dental medicine	Доктор стоматології	 науковий ступінь у галузі стоматології
i57729	protection: a covering that is intend to protect from damage or injury	захист	 покриття, призначене для захисту від пошкоджень або травм
i33219	extend: offer verbally	розширити	 запропонувати усно
i112955	surfeit: the state of being more than full	надлишок	 стан бути більш ніж повним
i75352	increase: a change resulting in an increase	збільшення	 зміна, що призводить до зростання
i82649	Tirana: the capital and largest city of Albania in the center of the country	Тирана	 столиця і найбільше місто Албанії в центрі країни
i41964	colonization: the act of colonizing	колонізація	 акт колонізації
i29592	tense: become stretched or tense or taut	напружуватися	 ставати розтягнутим, напруженим або натягнутим
i24103	spoil: make imperfect	псувати	 робити недосконалим
i38508	directorship: the position of a director of a business concern	директорство	 посада директора бізнес-концерну
i26811	bay: bark with prolonged noises, of dogs	гавкіт	 тривалий гавкіт собак
i27150	overwhelm: overcome by superior force	перемагати	 долати переважаючою силою
i61511	garrulity: the quality of being wordy and talkative	гаркавість	 властивість бути багатослівним і балакучим
i27702	hold on: hold firmly	триматися	 міцно триматися
i27743	grip: hold fast or firmly	хват	 тримайте міцно або міцно
i28479	stick to: stick to firmly	дотримуватися	 міцно триматися
i64343	boundlessness: the quality of being infinite	безмежність	 якість нескінченного буття
i75257	blow: an impact (as from a collision)	удар	 удар (як від зіткнення)
i68907	systematics: the science of systematic classification	систематика	 наука про систематичну класифікацію
i67011	design: an arrangement scheme	дизайн	 схема розташування
i77785	peach: downy juicy fruit with sweet yellowish or whitish flesh	персик	 пухнастий соковитий плід із солодкою жовтуватою або білуватою м'якоттю
i25280	specify: define clearly	конкретизувати	 чітко визначати
i24932	miscalculate: calculate incorrectly	прорахувати	 розрахувати неправильно
i89072	co-worker: an associate that one works with	колега	 співробітник, з яким хтось працює
i38254	percussion: the act of playing a percussion instrument	перкусія	 гра на ударному інструменті
i66530	oenology: the art of wine making	енологія	 мистецтво виготовлення вина
i80842	Vatican Council: each of two councils of the Roman Catholic Church	Ватиканський собор	 кожен з двох соборів Римо-католицької церкви
i30449	copy: reproduce someone's behavior or looks	копіювати	 відтворювати чиюсь поведінку або зовнішність
i62886	mode: how something is done or how it happens	спосіб	 як щось робиться або як це відбувається
i31338	flounce: walk emphatically	воланом	 ходити підкреслено
i75372	contagion: an incident in which an infectious disease is transmitted	зараження	 інцидент, під час якого передається інфекційне захворювання
i86196	ski slope: a snow-covered slope for skiing	гірськолижний спуск	 засніжений схил для катання на лижах
i86772	Godhead: terms referring to the Judeo-Christian God	Божество	 терміни, що стосуються юдео-християнського Бога
i35738	attainment: the act of achieving an aim	досягнення	 акт досягнення мети
i30562	distract: disturb in mind or make uneasy or cause to be worried or alarmed	відволікати	 турбувати в думках або викликати занепокоєння, тривогу чи занепокоєння
i79626	insurance company: a financial institution that sells insurance	страхова компанія	 фінансова установа, яка продає страхування
i113023	hole: a fault	отвір	 несправність
i24952	analyse: subject to psychoanalytic treatment	аналізувати	 піддаватися психоаналітичному лікуванню
i61808	toughness: impressive difficulty	в'язкість	 вражаюча складність
i88122	agitator: one who agitates	агітатор	 той, хто агітує
i68339	science: a particular branch of scientific knowledge	наука	 певна галузь наукових знань
i93721	union member: a worker who belongs to a trade union	член профспілки	 працівник, який є членом профспілки
i64262	color: interest and variety and intensity	колір	 інтерес, різноманітність та інтенсивність
i3251	constructive: constructing or tending to construct or improve or promote development	конструктивний	 такий, що будує або прагне будувати, покращувати чи сприяти розвитку
i69241	monotheism: belief in a single God	монотеїзм	 віра в єдиного Бога
i26004	confer: have a conference in order to talk something over	конферувати	 збиратися на нараду, щоб обговорити щось
i68886	political science: the study of government of states and other political units	політологія	 вивчення управління державами та іншими політичними одиницями
i30156	smelt: extract (metals) by heating	корюшка	 вилучення (металів) шляхом нагрівання
i114698	blotting paper: absorbent paper used to dry ink	промокальний папір	 абсорбуючий папір, що використовується для висихання чорнила
i74563	dismissal: official notice that you have been fired from your job	звільнення	 офіційне повідомлення про те, що вас звільнено з роботи
i27299	safeguard: make safe	захистити	 зробити безпечним
i54176	garbage truck: a truck for collecting domestic refuse	сміттєвоз	 вантажівка для збору побутових відходів
i111637	skin disease: a disease affecting the skin	шкірне захворювання	 захворювання, що вражає шкіру
i106883	wherewithal: the necessary means (especially financial means)	засоби	 необхідні кошти (особливо фінансові)
i61463	compliance: a disposition or tendency to yield to the will of others	підпорядкування	 схильність або тенденція підкорятися волі інших
i87803	Pakistani: a native or inhabitant of Pakistan	Пакистанець	 уродженець або житель Пакистану
i33030	barter: exchange goods without involving money	бартер	 обмін товарами без залучення грошей
i23861	vanish: cease to exist	зникати	 припиняти існування
i22233	drop: grow progressively worse	падіння	 поступово погіршуються
i88084	administrator: someone who administers a business	адміністратор	 той, хто керує бізнесом
i17000	retinal: in or relating to the retina of the eye	сітківка	 у сітківці ока або пов'язаний з нею
i109813	envelope: a curve that is tangent to each of a family of curves	огинаюча	 крива, яка є дотичною до кожної з сімейства кривих
i53876	flower store: a shop where flowers and ornamental plants are sold	квітковий магазин	 магазин, де продаються квіти та декоративні рослини
i7410	wrinkled: (of linens or clothes) not ironed	зім'ятий	 (постільної білизни або одягу) не випрасуваний
i26764	chew the fat: talk socially without exchanging too much information	розжовувати жир	 спілкуватися соціально, не обмінюючись надто багатою інформацією
i77303	bratwurst: a small pork sausage	братвурст	 маленька свиняча ковбаска
i53068	student residence: a college or university building containing living quarters for students	студентський гуртожиток	 будівля коледжу або університету з житловими приміщеннями для студентів
i32892	pass: be inherited by	передаватися	 успадковуватися
i34565	fox: deceive somebody	лисиця	 обдурити когось
i35027	equilibrize: bring into balance or equilibrium	врівноважувати	 приводити до балансу або рівноваги
i26917	keep: maintain by writing regular records	зберігати	 підтримувати шляхом ведення регулярних записів
i52008	clinometer: an instrument used by surveyors in order to measure an angle of inclination or elevation	клінометр	 інструмент, який використовується геодезистами для вимірювання кута нахилу або висоти
i61456	harshness: excessive sternness	суворість	 надмірна суворість
i62729	propriety: correct or appropriate behavior	пристойність	 правильна або доречна поведінка
i62278	validness: the quality of having legal force or effectiveness	дійсність	 властивість мати юридичну силу або ефективність
i62064	tapestry: something that resembles a tapestry in its intricacy	гобелен	 те, що нагадує гобелен за своєю вигадливістю
i117309	spring: the season of growth	весна	 сезон зростання
i13418	untidy: not neat and tidy	untidy	 не охайний і не акуратний
i28175	fall off: come off	fall off	 відірватися
i26857	sibilate: pronounce with an initial sibilant	сибілянт	 вимовляти з початковим сибілянтним
i12901	subordinate: subject or submissive to authority or the control of another	підлеглий	 підпорядкований або підкорений владі чи контролю з боку іншої особи
i61951	identicalness: exact sameness	ідентичність	 точна однаковість
i16839	Protestant: of or relating to Protestants or Protestantism	Протестантський	 про протестантів або протестантизм чи такий, що стосується протестантів або протестантизму
i28916	send in: mail in	надіслати	 mail in
i72656	illustration: showing by example	ілюстрація	 показуємо на прикладі
i50043	antiaircraft: artillery designed to shoot upward at airplanes	зенітна	 артилерія, призначена для стрільби вгору по літаках
i35306	scale: measure by or as if by a scale	шкала	 вимірювати за шкалою або ніби за шкалою
i7235	segregated: separated or isolated from others or a main group	сегрегований	 відокремлений або ізольований від інших або основної групи
i25783	brush down: reprimand	brush down	 догана
i30601	excite: arouse or elicit a feeling	збуджувати	 викликати або викликати почуття
i50089	apartment house: a building that is divided into apartments	багатоквартирний будинок	 будівля, яка розділена на квартири
i81058	republic: a form of government whose head of state is not a monarch	республіка	 форма правління, при якій глава держави не є монархом
i34864	adhere: be loyal to	дотримуватися	 бути вірним
i98680	inflorescence: the flowering part of a plant or arrangement of flowers on a stalk	суцвіття	 квітуча частина рослини або розташування квіток на стеблі
i31049	wobble: move unsteadily	коливатися	 рухатися нестабільно
i14600	anarchistic: of or related to anarchism or tending toward anarchism	анархічний	 пов'язаний з анархізмом або такий, що тяжіє до анархізму
i28434	lock up: secure by locking	заблокувати	 захистити, заблокувавши
i33938	draw rein: control and direct with or as if by reins	draw rein	 контролюйте та спрямовуйте за допомогою віжок або наче за допомогою віжок
i85405	floodplain: a low plain adjacent to a river that is formed chiefly of river sediment and is subject to flooding	заплава	 низька рівнина, що прилягає до річки, сформована переважно з річкових наносів і схильна до затоплення
i107375	flowering: the time and process of budding and unfolding of blossoms	цвітіння	 час і процес розпускання бруньок і розкриття квіток
i54970	shanty: small crude shelter used as a dwelling	халупа	 невелике грубе укриття, що використовується як житло
i65647	muscle fiber: an elongated contractile cell that forms the muscles of the body	м'язове волокно	 подовжена скоротлива клітина, яка формує м'язи тіла
i113646	submission: the condition of having submitted to control by someone or something else	підпорядкування	 стан підпорядкування комусь або чомусь іншому
i66448	astuteness: intelligence manifested by being astute (as in business dealings)	прозорливість	 інтелект, що проявляється в проникливості (наприклад, у ділових відносинах)
i89063	coiffeur: a man hairdresser	coiffeur	 чоловік-перукар
i111102	kidney disease: a disease affecting the kidneys	ниркова недостатність	 захворювання, що вражає нирки
i81772	place of birth: the place where someone was born	місце народження	 місце, де хтось народився
i31305	amble: walk leisurely	amble	 ходити не поспішаючи
i62448	hardness: devoid of passion or feeling	твердість	 позбавлений пристрасті та почуттів
i36212	identification: the act of designating or identifying something	ідентифікація	 акт позначення або ототожнення чогось
i10691	unprocessed: not refined or processed	необроблений	 не очищений і не перероблений
i87824	Muscovite: a resident of Moscow	Москвич	 житель Москви
i63309	physiology: processes and functions of an organism	фізіологія	 процеси та функції організму
i116112	blood platelet: tiny bits of protoplasm found in vertebrate blood	тромбоцит	 крихітні шматочки протоплазми, виявлені в крові хребетних тварин
i77703	peel: the rind of a fruit or vegetable	шкірка	 шкірка фруктів або овочів
i26644	corroborate: give evidence for	підтвердити	 надати докази на користь
i25694	dissent: be of different opinions	інакомислення	 мати іншу думку
i93693	Tory: a supporter of traditional political and social institutions against the forces of reform	Торі	 прихильник традиційних політичних і соціальних інститутів, що виступає проти реформаторських сил
i90917	landlord: a landowner who leases to others	орендодавець	 власник землі, який здає її в оренду іншим особам
i50814	blackboard: sheet of slate	дошка	 лист шиферу
i105679	bean: any of various seeds or fruits that are beans or resemble beans	боби	 будь-яке насіння або плоди, які є бобами або нагадують боби
i74798	prohibition: refusal to approve or assent to	заборона	 відмова схвалити або погодитися на
i112392	neuritis: inflammation of a nerve accompanied by pain and sometimes loss of function	неврит	 запалення нерва, що супроводжується болем, а іноді і втратою функції
i27741	curl: twist or roll into coils or ringlets	скрутити	 скрутити або скрутити в котушки або кільця
i117297	minute: a unit of time equal to 60 seconds or 1/60th of an hour	хвилина	 одиниця часу, що дорівнює 60 секундам або 1/60 частини години
i68492	probability theory: the branch of applied mathematics that deals with probabilities	теорія ймовірностей	 розділ прикладної математики, що займається ймовірностями
i29479	expunge: remove by erasing or crossing out or as if by drawing a line	викреслювати	 видаляти, стираючи, перекреслюючи або ніби проводячи лінію
i33013	allow: let have	дозволити	 дозволити мати
i23669	turn back: go back to a previous state	повернути назад	 повернутися до попереднього стану
i112404	pancreatitis: inflammation of the pancreas	панкреатит	 запалення підшлункової залози
i74461	examination: formal systematic questioning	іспит	 формальне систематичне опитування
i31280	infiltrate: pass into or through by filtering or permeating	проникати	 проникати всередину або наскрізь шляхом фільтрації або проникнення
i37409	homogenization: the act of making something homogeneous or uniform in composition	гомогенізація	 процес створення чогось однорідного або однорідного за складом
i22165	ail: be ill or unwell	ail	 хворіти або нездужати
i116990	Holy Week: the week before Easter	Страсний тиждень	 тиждень перед Великоднем
i41636	verdict: (law) the findings of a jury on issues of fact submitted to it for decision	вердикт	 (закон) висновки присяжних з питань факту, переданих їм на вирішення
i60180	thermometer: measuring instrument for measuring temperature	термометр	 вимірювальний прилад для вимірювання температури
i25512	determine: settle conclusively	визначити	 вирішити остаточно
i90178	full general: a general officer of the highest rank	повний генерал	 генерал-офіцер найвищого рангу
i65466	capillary: any of the minute blood vessels connecting arterioles with venules	капіляр	 будь-яка з найдрібніших кровоносних судин, що з'єднує артеріоли з венулами
i31809	depart: depart for someplace	від'їжджати	 вирушати кудись
i32763	give away: make a gift of	віддати	 зробити подарунок
i37115	blood transfusion: the introduction of blood or blood plasma into a vein or artery	переливання крові	 введення крові або плазми крові у вену або артерію
i109658	correlation: a reciprocal relation between two or more things	кореляція	 взаємний зв'язок між двома або більше речами
i51343	cabinet: a storage compartment for clothes and valuables	шафа	 відділення для зберігання одягу та цінних речей
i62640	austerity: the trait of great self-denial (especially refraining from worldly pleasures)	аскеза	 риса великого самозречення (особливо утримання від мирських задоволень)
i23005	swell: cause to become swollen	набрякати	 викликати розпухання
i68272	education: knowledge acquired by learning and instruction	освіта	 знання, набуті шляхом навчання та інструктажу
i90946	peace officer: an officer of the law	офіцер правопорядку	 служитель закону
i32067	pounce: move down on as if in an attack	накидатися	 рухатися вниз, наче в атаці
i31736	lead: travel in front of	лідирувати	 їхати попереду
i34428	recognise: show approval or appreciation of	визнавати	 висловлювати схвалення або вдячність
i92114	political prisoner: someone who is imprisoned because of their political views	політичний в'язень	 особа, яка перебуває в ув'язненні через свої політичні погляди
i33278	give: give (as medicine)	давати	 давати (як ліки)
i28632	tear: strip of feathers	сльоза	 смужка пір'я
i105841	culm: stem of plants of the Gramineae	Кульмінація	 стебло рослин родини Злакові (Gramineae)
i27675	handle: touch, lift, or hold with the hands	ручка	 торкатися, піднімати або тримати руками
i81065	capitalism: an economic system based on private ownership of capital	капіталізм	 економічна система, заснована на приватній власності на капітал
i72049	reflexion: a remark expressing careful consideration	рефлексія	 зауваження, що виражає ретельний розгляд
i58613	seat cushion: a cushion that makes a seat more comfortable	подушка для сидіння	 подушка, яка робить сидіння зручнішим
i37366	accumulation: the act of accumulating	накопичення	 акт накопичення
i33247	dispense with: forgo or do or go without	обійтися без	 відмовитися, обійтися або обійтися без
i109505	scale: relative magnitude	шкала	 відносна величина
i86151	deposit: matter that has been deposited by some natural process	відкладення	 речовина, що відклалася в результаті певного природного процесу
i34518	purge: oust politically	чистка	 усунення політичним шляхом
i23358	braise: cook in liquid	тушкувати	 варити в рідині
i29521	cleave: make by cutting into	розщеплювати	 робити, розрізаючи на
i48638	shaft: the hollow spine of a feather	стрижень	 порожнистий хребет пера
i80686	trade school: a secondary school teaching the skilled trades	професійне училище	 середній навчальний заклад, що навчає кваліфікованим професіям
i36617	layoff: the act of laying off an employee or a work force	звільнення	 акт звільнення працівника або робочої сили
i40757	pursuance: the continuance of something begun with a view to its completion	виконання	 продовження чогось розпочатого з метою його завершення
i71799	abuse: a rude expression intended to offend or hurt	образа	 грубий вираз, що має на меті образити або завдати болю
i39980	arithmetic operation: a mathematical operation involving numbers	арифметична операція	 математична операція з числами
i61363	spiritualism: concern with things of the spirit	спіритизм	 турбота про речі духу
i75513	jangle: a metallic sound	дзенькіт	 металевий звук
i63729	span: the distance or interval between two points	проміжок	 відстань або інтервал між двома точками
i26201	second-guess: attempt to anticipate or predict	здогадка	 спроба передбачити або спрогнозувати
i110048	hole: an unoccupied space	діра	 незайнятий простір
i32148	bring in: convey	приносити	 передавати
i66843	allurement: attractiveness	спокуса	 привабливість
i110255	subordinateness: secondary importance	підпорядкованість	 другорядність
i54844	hold: a cell in a jail or prison	тюрма	 камера у в'язниці або тюрмі
i55582	lawcourt: a tribunal that is presided over by a magistrate or by one or more judges who administer justice according to the laws	суд	 суд під головуванням магістрату або одного чи кількох суддів, які здійснюють правосуддя відповідно до закону
i24734	understand: be understanding of	розуміти	 ставитися з розумінням до
i39288	inroad: an encroachment or intrusion	inroad	 посягання або вторгнення
i54192	garnish: any decoration added as a trimming or adornment	гарнір	 будь-яка прикраса, додана як оздоблення або прикраса
i81203	infantry: an army unit consisting of soldiers who fight on foot	піхота	 армійський підрозділ, що складається з солдатів, які воюють пішки
i85898	seabed: the bottom of a sea or ocean	морське дно	 дно моря або океану
i38047	gambling game: a game that involves gambling	азартна гра	 гра, яка передбачає азартні ігри
i112863	importance: a prominent status	важливість	 видатний статус
i106998	deferred payment: arrangement for deferred payment for goods and services	відстрочка платежу	 домовленість про відстрочку оплати товарів і послуг
i30895	get stuck: be unable to move further	застрягти	 бути не в змозі рухатися далі
i25569	contradict: be resistant to	суперечити	 бути стійким до
i30229	colour: decorate with colors	колір	 прикрасьте кольорами
i3008	convex: curving or bulging outward	опуклі	 вигнуті або випуклі назовні
i33640	pursue: carry further or advance	переслідувати	 нести далі або просуватися вперед
i24552	fall: be cast down	падіння	 бути скинутим додолу
i26925	smile: express with a smile	посмішка	 виражайте себе за допомогою посмішки
i97864	infrared emission: electromagnetic radiation with wavelengths longer than visible light but shorter than radio waves	інфрачервоне випромінювання	 електромагнітне випромінювання з довжиною хвиль довшою, ніж видиме світло, але коротшою, ніж радіохвилі
i80347	society: a formal association of people with similar interests	суспільство	 формальне об'єднання людей зі схожими інтересами
i27828	cut down: cause to come or go down	зрубати	 спричинити зменшення або зменшення
i76275	affright: an overwhelming feeling of fear and anxiety	переляк	 непереборне відчуття страху і тривоги
i81171	blind date: a date with a stranger	побачення наосліп	 побачення з незнайомцем
i56972	panzer: an armored vehicle or tank	панцер	 бронетранспортер або танк
i111567	myopathy: any pathology of the muscles that is not attributable to nerve dysfunction	міопатія	 будь-яка патологія м'язів, яка не пов'язана з порушенням функції нервів
i114605	antifreeze: a liquid added to the water in a cooling system to lower its freezing point	антифриз	 рідина, що додається до води в системі охолодження для зниження температури замерзання
i110711	voraciousness: excessive desire to eat	ненажерливість	 надмірне бажання їсти
i24721	perceive: become conscious of	сприймати	 усвідомлювати
i67973	keynote: a fundamental or central idea	ключова ідея	 фундаментальна або центральна ідея
i114216	topsoil: the layer of soil on the surface	верхній шар ґрунту	 шар ґрунту на поверхні
i83729	Republic of Guinea: a republic in western Africa on the Atlantic	Гвінейська Республіка	 республіка на заході Африки на узбережжі Атлантичного океану
i41318	subordination: the act of mastering or subordinating someone	субординація	 акт оволодіння або підпорядкування когось
i25141	count: include as if by counting	count	 включати, ніби рахуючи
i76311	elation: a feeling of joy and pride	піднесення	 відчуття радості та гордості
i35310	come in for: be subject to or the object of	вступати для	 бути суб'єктом або об'єктом
i62298	tastefulness: elegance indicated by good taste	вишуканість	 елегантність, що свідчить про гарний смак
i79243	singleton: a set containing a single member	синглет	 множина, що містить один член
i30543	evoke: call forth (emotions, feelings, and responses)	викликати	 викликати (емоції, почуття та реакції)
i31773	get at: reach or gain access to	дістатися	 досягти або отримати доступ до
i26651	point up: emphasize, especially by identification	вказувати вгору	 підкреслювати, особливо через ідентифікацію
i34454	pull through: bring into safety	витягнути	 вивести в безпечне місце
i29053	decorate: provide with decoration	прикрашати	 забезпечувати оздобленням
i39422	laziness: apathy and inactivity in the practice of virtue (personified as one of the deadly sins)	лінощі	 апатія та бездіяльність у практиці чеснот (уособлюється як один зі смертних гріхів)
